(C:\Users\Rajdeep Kumar\movie-recsys\recsys-env) C:\Users\Rajdeep Kumar\movie-recsys>python src\models\build_tag_w2v.py
🚀 Loading Mappings and Metadata...
🧠 Preparing Corpus for Word2Vec...
🏋️‍♂️ Training Word2Vec Model (128 Dimensions)...
💉 Mapping Word2Vec representations to SASRec Token IDs...
✅ Pre-trained vectors mapped for 22884 out of 22884 items.
💾 Word2Vec Matrix saved to data/processed\w2v_embeddings.npy

(C:\Users\Rajdeep Kumar\movie-recsys\recsys-env) C:\Users\Rajdeep Kumar\movie-recsys>python src\train_w2v.py
🚀 Training Word2Vec-Hybrid SASRec on: cuda
🚀 INJECTION: Loading pre-trained Word2Vec embeddings into SASRec!
Epoch [1/100] | Batch [250/538] | Loss: 0.4351
Epoch [1/100] | Batch [500/538] | Loss: 0.3785
✅ Epoch 1 Complete | Avg Loss: 0.5225 | Time: 15.17 sec
Epoch [2/100] | Batch [250/538] | Loss: 0.3414
Epoch [2/100] | Batch [500/538] | Loss: 0.3124
✅ Epoch 2 Complete | Avg Loss: 0.3377 | Time: 14.18 sec
Epoch [3/100] | Batch [250/538] | Loss: 0.3130
Epoch [3/100] | Batch [500/538] | Loss: 0.2880
✅ Epoch 3 Complete | Avg Loss: 0.3113 | Time: 14.36 sec
Epoch [4/100] | Batch [250/538] | Loss: 0.3031
Epoch [4/100] | Batch [500/538] | Loss: 0.2892
✅ Epoch 4 Complete | Avg Loss: 0.2941 | Time: 14.20 sec
Epoch [5/100] | Batch [250/538] | Loss: 0.2771
Epoch [5/100] | Batch [500/538] | Loss: 0.2855
✅ Epoch 5 Complete | Avg Loss: 0.2824 | Time: 14.33 sec
Epoch [6/100] | Batch [250/538] | Loss: 0.2673
Epoch [6/100] | Batch [500/538] | Loss: 0.2494
✅ Epoch 6 Complete | Avg Loss: 0.2736 | Time: 14.12 sec
Epoch [7/100] | Batch [250/538] | Loss: 0.2658
Epoch [7/100] | Batch [500/538] | Loss: 0.2653
✅ Epoch 7 Complete | Avg Loss: 0.2674 | Time: 14.06 sec
Epoch [8/100] | Batch [250/538] | Loss: 0.2737
Epoch [8/100] | Batch [500/538] | Loss: 0.2558
✅ Epoch 8 Complete | Avg Loss: 0.2619 | Time: 14.24 sec
Epoch [9/100] | Batch [250/538] | Loss: 0.2549
Epoch [9/100] | Batch [500/538] | Loss: 0.2558
✅ Epoch 9 Complete | Avg Loss: 0.2574 | Time: 14.24 sec
Epoch [10/100] | Batch [250/538] | Loss: 0.2632
Epoch [10/100] | Batch [500/538] | Loss: 0.2474
✅ Epoch 10 Complete | Avg Loss: 0.2544 | Time: 14.27 sec
Epoch [11/100] | Batch [250/538] | Loss: 0.2583
Epoch [11/100] | Batch [500/538] | Loss: 0.2492
✅ Epoch 11 Complete | Avg Loss: 0.2510 | Time: 14.13 sec
Epoch [12/100] | Batch [250/538] | Loss: 0.2372
Epoch [12/100] | Batch [500/538] | Loss: 0.2643
✅ Epoch 12 Complete | Avg Loss: 0.2484 | Time: 14.18 sec
