Microsoft Windows [Version 10.0.26200.8457]
(c) Microsoft Corporation. All rights reserved.

C:\Users\Rajdeep Kumar\movie-recsys>conda activate recsys-env/

(C:\Users\Rajdeep Kumar\movie-recsys\recsys-env) C:\Users\Rajdeep Kumar\movie-recsys>
 *  History restored 

Microsoft Windows [Version 10.0.26200.8457]
(c) Microsoft Corporation. All rights reserved.

C:\Users\Rajdeep Kumar\movie-recsys>conda activate recsys-env/

(C:\Users\Rajdeep Kumar\movie-recsys\recsys-env) C:\Users\Rajdeep Kumar\movie-recsys>python src\train_w2v.py
🚀 Training Word2Vec-Hybrid SASRec on: cuda
🚀 INJECTION: Loading pre-trained Word2Vec embeddings into SASRec!
Epoch [1/100] | Batch [250/538] | Loss: 0.4070
Epoch [1/100] | Batch [500/538] | Loss: 0.3779
✅ Epoch 1 Complete | Avg Loss: 0.4862 | Time: 15.23 sec
Epoch [2/100] | Batch [250/538] | Loss: 0.3344
Epoch [2/100] | Batch [500/538] | Loss: 0.3091
✅ Epoch 2 Complete | Avg Loss: 0.3427 | Time: 14.07 sec
Epoch [3/100] | Batch [250/538] | Loss: 0.3227
Epoch [3/100] | Batch [500/538] | Loss: 0.3076
✅ Epoch 3 Complete | Avg Loss: 0.3157 | Time: 14.25 sec
Epoch [4/100] | Batch [250/538] | Loss: 0.3234
Epoch [4/100] | Batch [500/538] | Loss: 0.2945
✅ Epoch 4 Complete | Avg Loss: 0.3001 | Time: 14.78 sec
Epoch [5/100] | Batch [250/538] | Loss: 0.2768
Epoch [5/100] | Batch [500/538] | Loss: 0.2650
✅ Epoch 5 Complete | Avg Loss: 0.2889 | Time: 14.74 sec
Epoch [6/100] | Batch [250/538] | Loss: 0.2671
Epoch [6/100] | Batch [500/538] | Loss: 0.2888
✅ Epoch 6 Complete | Avg Loss: 0.2794 | Time: 14.15 sec
Epoch [7/100] | Batch [250/538] | Loss: 0.2794
Epoch [7/100] | Batch [500/538] | Loss: 0.2677
✅ Epoch 7 Complete | Avg Loss: 0.2719 | Time: 14.71 sec
Epoch [8/100] | Batch [250/538] | Loss: 0.2874
Epoch [8/100] | Batch [500/538] | Loss: 0.2588
✅ Epoch 8 Complete | Avg Loss: 0.2663 | Time: 14.62 sec
Epoch [9/100] | Batch [250/538] | Loss: 0.2428
Epoch [9/100] | Batch [500/538] | Loss: 0.2751
✅ Epoch 9 Complete | Avg Loss: 0.2619 | Time: 14.36 sec
Epoch [10/100] | Batch [250/538] | Loss: 0.2786
Epoch [10/100] | Batch [500/538] | Loss: 0.2587
✅ Epoch 10 Complete | Avg Loss: 0.2575 | Time: 14.22 sec
Epoch [11/100] | Batch [250/538] | Loss: 0.2544
Epoch [11/100] | Batch [500/538] | Loss: 0.2765
✅ Epoch 11 Complete | Avg Loss: 0.2540 | Time: 14.49 sec
Epoch [12/100] | Batch [250/538] | Loss: 0.2512
Epoch [12/100] | Batch [500/538] | Loss: 0.2316
✅ Epoch 12 Complete | Avg Loss: 0.2512 | Time: 14.53 sec
Epoch [13/100] | Batch [250/538] | Loss: 0.2408
Epoch [13/100] | Batch [500/538] | Loss: 0.2605
✅ Epoch 13 Complete | Avg Loss: 0.2486 | Time: 14.44 sec
Epoch [14/100] | Batch [250/538] | Loss: 0.2548
Epoch [14/100] | Batch [500/538] | Loss: 0.2415
✅ Epoch 14 Complete | Avg Loss: 0.2465 | Time: 14.36 sec
Epoch [15/100] | Batch [250/538] | Loss: 0.2573
Epoch [15/100] | Batch [500/538] | Loss: 0.2476
✅ Epoch 15 Complete | Avg Loss: 0.2443 | Time: 14.59 sec
Epoch [16/100] | Batch [250/538] | Loss: 0.2462
Epoch [16/100] | Batch [500/538] | Loss: 0.2358
✅ Epoch 16 Complete | Avg Loss: 0.2412 | Time: 40.20 sec
Epoch [17/100] | Batch [250/538] | Loss: 0.2420
Epoch [17/100] | Batch [500/538] | Loss: 0.2351
✅ Epoch 17 Complete | Avg Loss: 0.2407 | Time: 15.00 sec
Epoch [18/100] | Batch [250/538] | Loss: 0.2380
Epoch [18/100] | Batch [500/538] | Loss: 0.2413
✅ Epoch 18 Complete | Avg Loss: 0.2388 | Time: 19.85 sec
Epoch [19/100] | Batch [250/538] | Loss: 0.2391
Epoch [19/100] | Batch [500/538] | Loss: 0.2438
✅ Epoch 19 Complete | Avg Loss: 0.2370 | Time: 14.73 sec
Epoch [20/100] | Batch [250/538] | Loss: 0.2584
Epoch [20/100] | Batch [500/538] | Loss: 0.2320
✅ Epoch 20 Complete | Avg Loss: 0.2361 | Time: 14.76 sec
Epoch [21/100] | Batch [250/538] | Loss: 0.2451
Epoch [21/100] | Batch [500/538] | Loss: 0.2256
✅ Epoch 21 Complete | Avg Loss: 0.2340 | Time: 14.49 sec
Epoch [22/100] | Batch [250/538] | Loss: 0.2302
Epoch [22/100] | Batch [500/538] | Loss: 0.2450
✅ Epoch 22 Complete | Avg Loss: 0.2336 | Time: 14.53 sec
Epoch [23/100] | Batch [250/538] | Loss: 0.2215
Epoch [23/100] | Batch [500/538] | Loss: 0.2443
✅ Epoch 23 Complete | Avg Loss: 0.2317 | Time: 14.69 sec
Epoch [24/100] | Batch [250/538] | Loss: 0.2245
Epoch [24/100] | Batch [500/538] | Loss: 0.2475
✅ Epoch 24 Complete | Avg Loss: 0.2302 | Time: 14.36 sec
Epoch [25/100] | Batch [250/538] | Loss: 0.2274
Epoch [25/100] | Batch [500/538] | Loss: 0.2313
✅ Epoch 25 Complete | Avg Loss: 0.2294 | Time: 26.39 sec
Epoch [26/100] | Batch [250/538] | Loss: 0.2243
Epoch [26/100] | Batch [500/538] | Loss: 0.2344
✅ Epoch 26 Complete | Avg Loss: 0.2282 | Time: 14.83 sec
Epoch [27/100] | Batch [250/538] | Loss: 0.2216
Epoch [27/100] | Batch [500/538] | Loss: 0.2192
✅ Epoch 27 Complete | Avg Loss: 0.2272 | Time: 14.16 sec
Epoch [28/100] | Batch [250/538] | Loss: 0.2215
Epoch [28/100] | Batch [500/538] | Loss: 0.2307
✅ Epoch 28 Complete | Avg Loss: 0.2268 | Time: 14.64 sec
Epoch [29/100] | Batch [250/538] | Loss: 0.2483
Epoch [29/100] | Batch [500/538] | Loss: 0.2390
✅ Epoch 29 Complete | Avg Loss: 0.2253 | Time: 14.58 sec
Epoch [30/100] | Batch [250/538] | Loss: 0.2227
Epoch [30/100] | Batch [500/538] | Loss: 0.2507
✅ Epoch 30 Complete | Avg Loss: 0.2247 | Time: 14.69 sec
Epoch [31/100] | Batch [250/538] | Loss: 0.2388
Epoch [31/100] | Batch [500/538] | Loss: 0.2109
✅ Epoch 31 Complete | Avg Loss: 0.2241 | Time: 19.54 sec
Epoch [32/100] | Batch [250/538] | Loss: 0.2183
Epoch [32/100] | Batch [500/538] | Loss: 0.2220
✅ Epoch 32 Complete | Avg Loss: 0.2233 | Time: 22.15 sec
Epoch [33/100] | Batch [250/538] | Loss: 0.2447
Epoch [33/100] | Batch [500/538] | Loss: 0.2270
✅ Epoch 33 Complete | Avg Loss: 0.2225 | Time: 15.01 sec
Epoch [34/100] | Batch [250/538] | Loss: 0.2285
Epoch [34/100] | Batch [500/538] | Loss: 0.2181
✅ Epoch 34 Complete | Avg Loss: 0.2215 | Time: 14.72 sec
Epoch [35/100] | Batch [250/538] | Loss: 0.2222
Epoch [35/100] | Batch [500/538] | Loss: 0.2123
✅ Epoch 35 Complete | Avg Loss: 0.2215 | Time: 14.24 sec
Epoch [36/100] | Batch [250/538] | Loss: 0.2181
Epoch [36/100] | Batch [500/538] | Loss: 0.1971
✅ Epoch 36 Complete | Avg Loss: 0.2206 | Time: 14.26 sec
Epoch [37/100] | Batch [250/538] | Loss: 0.2104
Epoch [37/100] | Batch [500/538] | Loss: 0.2443
✅ Epoch 37 Complete | Avg Loss: 0.2197 | Time: 14.27 sec
Epoch [38/100] | Batch [250/538] | Loss: 0.2188
Epoch [38/100] | Batch [500/538] | Loss: 0.2000
✅ Epoch 38 Complete | Avg Loss: 0.2195 | Time: 14.13 sec
Epoch [39/100] | Batch [250/538] | Loss: 0.2133
Epoch [39/100] | Batch [500/538] | Loss: 0.2311
✅ Epoch 39 Complete | Avg Loss: 0.2190 | Time: 14.76 sec
Epoch [40/100] | Batch [250/538] | Loss: 0.2288
Epoch [40/100] | Batch [500/538] | Loss: 0.2265
✅ Epoch 40 Complete | Avg Loss: 0.2187 | Time: 14.41 sec
Epoch [41/100] | Batch [250/538] | Loss: 0.2154
Epoch [41/100] | Batch [500/538] | Loss: 0.2321
✅ Epoch 41 Complete | Avg Loss: 0.2178 | Time: 15.04 sec
Epoch [42/100] | Batch [250/538] | Loss: 0.2185
Epoch [42/100] | Batch [500/538] | Loss: 0.2270
✅ Epoch 42 Complete | Avg Loss: 0.2173 | Time: 14.55 sec
Epoch [43/100] | Batch [250/538] | Loss: 0.2196
Epoch [43/100] | Batch [500/538] | Loss: 0.2023
✅ Epoch 43 Complete | Avg Loss: 0.2159 | Time: 14.30 sec
Epoch [44/100] | Batch [250/538] | Loss: 0.2083
Epoch [44/100] | Batch [500/538] | Loss: 0.2196
✅ Epoch 44 Complete | Avg Loss: 0.2162 | Time: 14.35 sec
Epoch [45/100] | Batch [250/538] | Loss: 0.2288
Epoch [45/100] | Batch [500/538] | Loss: 0.2083
✅ Epoch 45 Complete | Avg Loss: 0.2154 | Time: 14.42 sec
Epoch [46/100] | Batch [250/538] | Loss: 0.2223
Epoch [46/100] | Batch [500/538] | Loss: 0.1893
✅ Epoch 46 Complete | Avg Loss: 0.2148 | Time: 15.00 sec
Epoch [47/100] | Batch [250/538] | Loss: 0.2071
Epoch [47/100] | Batch [500/538] | Loss: 0.2079
✅ Epoch 47 Complete | Avg Loss: 0.2146 | Time: 14.72 sec
Epoch [48/100] | Batch [250/538] | Loss: 0.2021
Epoch [48/100] | Batch [500/538] | Loss: 0.2274
✅ Epoch 48 Complete | Avg Loss: 0.2142 | Time: 14.20 sec
Epoch [49/100] | Batch [250/538] | Loss: 0.2076
Epoch [49/100] | Batch [500/538] | Loss: 0.2184
✅ Epoch 49 Complete | Avg Loss: 0.2138 | Time: 14.71 sec
Epoch [50/100] | Batch [250/538] | Loss: 0.2231
Epoch [50/100] | Batch [500/538] | Loss: 0.2183
✅ Epoch 50 Complete | Avg Loss: 0.2131 | Time: 14.18 sec
Epoch [51/100] | Batch [250/538] | Loss: 0.2117
Epoch [51/100] | Batch [500/538] | Loss: 0.2391
✅ Epoch 51 Complete | Avg Loss: 0.2132 | Time: 14.15 sec
Epoch [52/100] | Batch [250/538] | Loss: 0.2105
Epoch [52/100] | Batch [500/538] | Loss: 0.2033
✅ Epoch 52 Complete | Avg Loss: 0.2129 | Time: 14.27 sec
Epoch [53/100] | Batch [250/538] | Loss: 0.2121
Epoch [53/100] | Batch [500/538] | Loss: 0.2035
✅ Epoch 53 Complete | Avg Loss: 0.2123 | Time: 14.42 sec
Epoch [54/100] | Batch [250/538] | Loss: 0.2103
Epoch [54/100] | Batch [500/538] | Loss: 0.2248
✅ Epoch 54 Complete | Avg Loss: 0.2118 | Time: 14.35 sec
Epoch [55/100] | Batch [250/538] | Loss: 0.2132
Epoch [55/100] | Batch [500/538] | Loss: 0.2043
✅ Epoch 55 Complete | Avg Loss: 0.2114 | Time: 14.09 sec
Epoch [56/100] | Batch [250/538] | Loss: 0.2118
Epoch [56/100] | Batch [500/538] | Loss: 0.2071
✅ Epoch 56 Complete | Avg Loss: 0.2115 | Time: 14.36 sec
Epoch [57/100] | Batch [250/538] | Loss: 0.2088
Epoch [57/100] | Batch [500/538] | Loss: 0.2124
✅ Epoch 57 Complete | Avg Loss: 0.2111 | Time: 14.52 sec
Epoch [58/100] | Batch [250/538] | Loss: 0.2157
Epoch [58/100] | Batch [500/538] | Loss: 0.2095
✅ Epoch 58 Complete | Avg Loss: 0.2106 | Time: 14.10 sec
Epoch [59/100] | Batch [250/538] | Loss: 0.2032
Epoch [59/100] | Batch [500/538] | Loss: 0.2001
✅ Epoch 59 Complete | Avg Loss: 0.2102 | Time: 14.36 sec
Epoch [60/100] | Batch [250/538] | Loss: 0.2104
Epoch [60/100] | Batch [500/538] | Loss: 0.1987
✅ Epoch 60 Complete | Avg Loss: 0.2099 | Time: 14.68 sec
Epoch [61/100] | Batch [250/538] | Loss: 0.2220
Epoch [61/100] | Batch [500/538] | Loss: 0.2170
✅ Epoch 61 Complete | Avg Loss: 0.2094 | Time: 14.76 sec
Epoch [62/100] | Batch [250/538] | Loss: 0.2043
Epoch [62/100] | Batch [500/538] | Loss: 0.2139
✅ Epoch 62 Complete | Avg Loss: 0.2098 | Time: 14.37 sec
Epoch [63/100] | Batch [250/538] | Loss: 0.2056
Epoch [63/100] | Batch [500/538] | Loss: 0.2192
✅ Epoch 63 Complete | Avg Loss: 0.2092 | Time: 14.37 sec
Epoch [64/100] | Batch [250/538] | Loss: 0.2068
